feature,abs_corr,corr,mi,corr_norm,mi_norm,score,role
combined_loan_to_value_ratio_was_missing,0.15606035475656604,-0.15606035475656604,0.008600181025848475,1.0,0.0951449176800567,0.5475724588400284,Process diagnostic only
debt_to_income_ratio,0.0,,0.09039033545405185,0.0,1.0,0.5,Strong discovery candidate
property_value_was_missing,0.13182525969283812,-0.13182525969283812,0.009184313364086538,0.8447069077759592,0.10160724946922232,0.47315707862259077,Process diagnostic only
tract_to_msa_income_percentage,0.09409235182061951,0.09409235182061951,0.004526708016230119,0.6029228369203146,0.05007955765947104,0.3265011972898928,Strong discovery candidate
tract_minority_population_percent,0.07791382766173321,-0.07791382766173321,0.011268354294711624,0.49925445692641607,0.1246632644752123,0.3119588607008142,Strong discovery candidate
loan_amount,0.04365828178835754,0.04365828178835754,0.02416222889325037,0.27975254738116423,0.2673098708161423,0.27353120909865325,Strong discovery candidate
ffiec_msa_md_median_family_income,0.06353494769587119,0.06353494769587119,0.007614844632668261,0.40711779615634913,0.08424401341600415,0.24568090478617666,Strong discovery candidate
combined_loan_to_value_ratio,0.007590617712809002,-0.007590617712809002,0.03899436525314259,0.04863898793930965,0.4313997183135205,0.24001935312641506,Strong discovery candidate
tract_owner_occupied_units,0.0576681396632462,0.0576681396632462,0.0040621177246060736,0.36952459677027544,0.04493973503031163,0.20723216590029353,Strong discovery candidate
income,0.005844077211584543,-0.005844077211584543,0.028657258682444287,0.03744754534680218,0.3170389681429121,0.17724325674485714,Strong discovery candidate
loan_term,0.01359907445515328,0.01359907445515328,0.022019322306454203,0.08713984071333221,0.2436026174241525,0.16537122906874235,Strong discovery candidate
tract_one_to_four_family_homes,0.03850819059547867,0.03850819059547867,0.006309419102685565,0.24675190989759355,0.06980192153278195,0.15827691571518776,Strong discovery candidate
tract_population,0.03339622494188623,0.03339622494188623,0.008570322633429939,0.2139955723795452,0.09481459041366755,0.15440508139660636,Strong discovery candidate
loan_purpose,0.0,,0.02621006292003856,0.0,0.2899653241508538,0.1449826620754269,Moderate discovery candidate
income_band,0.0,,0.024829242631841685,0.0,0.27468913028277386,0.13734456514138693,Moderate discovery candidate
any_exempt_field,0.038942231776955466,0.038942231776955466,0.0,0.2495331491313108,0.0,0.1247665745656554,Moderate discovery candidate
property_value,0.007652924226354957,0.007652924226354957,0.018122130712810103,0.04903823420299491,0.20048748156291699,0.12476285788295595,Moderate discovery candidate
loan_term_was_missing,0.02809556895228672,-0.02809556895228672,0.0004960730720895423,0.18003014920805588,0.005488120711109777,0.09275913495958282,Process diagnostic only
income_was_missing,0.027712309126955992,0.027712309126955992,0.0,0.17757430559595747,0.0,0.08878715279797873,Process diagnostic only
lien_status,0.0,,0.011287396635089708,0.0,0.12487393235560491,0.06243696617780246,Moderate discovery candidate
derived_race,0.0,,0.00676677845445817,0.0,0.07486174733689233,0.03743087366844616,Weak / supporting
derived_sex,0.0,,0.006055367407888382,0.0,0.06699131469609944,0.03349565734804972,Weak / supporting
cltv_band,0.0,,0.0051470801377682465,0.0,0.056942814869678886,0.028471407434839443,Weak / supporting
tract_income_cat,0.0,,0.005095793102585622,0.0,0.05637541975022283,0.028187709875111416,Weak / supporting
tract_minority_cat,0.0,,0.0035725422296521148,0.0,0.039523497857446785,0.019761748928723392,Weak / supporting
tract_median_age_of_housing_units,0.005401853251769721,0.005401853251769721,0.0,0.03461387269172823,0.0,0.017306936345864114,Weak / supporting
applicant_age,0.0,,0.003067051307352643,0.0,0.03393118624846478,0.01696559312423239,Weak / supporting
derived_ethnicity,0.0,,0.002570858106583418,0.0,0.028441736538197305,0.014220868269098652,Weak / supporting
occupancy_type,0.0,,0.0010352193004441491,0.0,0.011452765334302608,0.005726382667151304,Weak / supporting
conforming_loan_limit,0.0,,0.0009901855365633627,0.0,0.010954550965979146,0.005477275482989573,Weak / supporting
loan_type,0.0,,0.000614845380235738,0.0,0.006802114154651882,0.003401057077325941,Weak / supporting
